Player,Age,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,Fantasy_Points,Year
LaMont Jordan,28,9,8,114,434,2,18,0.351,59,3.8,48.2,1,55.4,2006
LaMont Jordan,29,12,7,144,549,3,25,0.361,33,3.8,45.8,0,72.9,2007
LaMont Jordan,30,8,0,80,363,4,20,0.575,49,4.5,45.4,1,60.3,2008
Lamar Miller,24,16,16,194,872,8,41,0.423,85,4.5,54.5,1,135.2,2015
Lamar Miller,25,14,14,268,1073,5,55,0.429,45,4.0,76.6,2,137.3,2016
Lamar Miller,26,16,13,238,888,3,45,0.437,21,3.7,55.5,1,106.8,2017
Larry Johnson,28,8,8,158,559,3,24,0.386,54,3.5,69.9,1,73.9,2007
Larry Johnson,29,12,12,193,874,5,44,0.435,65,4.5,72.8,5,117.4,2008
Larry Johnson,30,14,7,178,581,0,56,0.382,27,3.3,41.5,2,58.1,2009
Latavius Murray,25,16,16,266,1066,6,49,0.38,54,4.0,66.6,4,142.6,2015
Latavius Murray,26,14,12,195,788,12,52,0.477,42,4.0,56.3,2,150.8,2016
Latavius Murray,27,16,11,216,842,8,43,0.431,46,3.9,52.6,1,132.2,2017
Laurence Maroney,21,14,0,175,745,6,42,0.434,41,4.3,53.2,1,110.5,2006
Laurence Maroney,22,13,6,185,835,6,48,0.546,59,4.5,64.2,0,119.5,2007
Laurence Maroney,24,15,5,194,757,9,45,0.515,45,3.9,50.5,4,129.7,2009
Le'Veon Bell,23,6,6,113,556,3,27,0.451,42,4.9,92.7,0,73.6,2015
Le'Veon Bell,24,12,12,261,1268,7,70,0.533,44,4.9,105.7,4,168.8,2016
Le'Veon Bell,25,15,15,321,1291,9,71,0.455,27,4.0,86.1,3,183.1,2017
LeGarrette Blount,29,12,6,165,703,6,39,0.491,38,4.3,58.6,1,106.3,2015
LeGarrette Blount,30,16,8,299,1161,18,68,0.425,44,3.9,72.6,2,224.1,2016
LeGarrette Blount,31,16,11,173,766,2,33,0.393,68,4.4,47.9,1,88.6,2017
LeSean McCoy,27,12,12,203,895,3,42,0.458,48,4.4,74.6,2,107.5,2015
LeSean McCoy,28,15,15,234,1267,13,56,0.496,75,5.4,84.5,3,204.7,2016
LeSean McCoy,29,16,16,287,1138,6,57,0.422,48,4.0,71.1,3,149.8,2017
Leon Washington,24,16,8,151,650,4,32,0.47,23,4.3,40.6,3,89.0,2006
Leon Washington,25,16,4,71,353,3,12,0.366,49,5.0,22.1,4,53.3,2007
Leon Washington,26,16,1,76,448,6,17,0.5,61,5.9,28.0,3,80.8,2008
Marion Barber III,26,15,15,214,932,7,60,0.5,35,4.4,62.1,2,135.2,2009
Marion Barber III,27,13,10,113,374,4,27,0.451,25,3.3,28.8,0,61.4,2010
Marion Barber III,28,11,1,114,422,6,26,0.395,29,3.7,38.4,1,78.2,2011
Mark Ingram,26,12,10,166,769,6,47,0.434,70,4.6,64.1,2,112.9,2015
Mark Ingram,27,16,14,205,1043,6,50,0.571,75,5.1,65.2,2,140.3,2016
Mark Ingram,28,16,12,230,1124,12,52,0.474,72,4.9,70.3,3,184.4,2017
Marshawn Lynch,28,16,14,280,1306,13,67,0.521,79,4.7,81.6,3,208.6,2014
Marshawn Lynch,29,7,6,111,417,3,29,0.468,24,3.8,59.6,0,59.7,2015
Marshawn Lynch,31,15,15,207,891,7,45,0.478,51,4.3,59.4,1,131.1,2017
Matt Forte,30,13,13,218,898,4,47,0.482,27,4.1,69.1,2,113.8,2015
Matt Forte,31,14,13,218,813,7,36,0.404,32,3.7,58.1,1,123.3,2016
Matt Forte,32,12,4,103,381,2,13,0.408,20,3.7,31.8,1,50.1,2017
Maurice Jones-Drew,25,14,14,299,1324,5,74,0.508,37,4.4,94.6,2,162.4,2010
Maurice Jones-Drew,26,16,16,343,1606,8,76,0.481,56,4.7,100.4,6,208.6,2011
Maurice Jones-Drew,28,15,15,234,803,5,46,0.363,48,3.4,53.5,1,110.3,2013
Maurice Morris,29,13,6,132,574,0,29,0.439,45,4.3,44.2,1,57.4,2008
Maurice Morris,30,14,3,93,384,2,14,0.419,64,4.1,27.4,1,50.4,2009
Maurice Morris,31,14,7,90,336,5,17,0.456,26,3.7,24.0,1,63.6,2010
Melvin Gordon,22,14,12,184,641,0,36,0.424,27,3.5,45.8,6,64.1,2015
Melvin Gordon,23,13,11,254,997,10,62,0.429,48,3.9,76.7,2,159.7,2016
Melvin Gordon,24,16,16,284,1105,8,61,0.398,87,3.9,69.1,1,158.5,2017
Michael Bush,26,14,3,158,655,8,32,0.443,30,4.1,46.8,0,113.5,2010
Michael Bush,27,16,9,256,977,7,56,0.434,44,3.8,61.1,1,139.7,2011
Michael Bush,28,13,1,114,411,5,28,0.465,20,3.6,31.6,1,71.1,2012
Michael Turner,28,16,15,334,1371,12,75,0.44,55,4.1,85.7,2,209.1,2010
Michael Turner,29,16,15,301,1340,11,63,0.445,81,4.5,83.8,3,200.0,2011
Michael Turner,30,16,16,222,800,10,40,0.41,43,3.6,50.0,3,140.0,2012
Mike Tolbert,26,15,1,121,490,8,26,0.446,40,4.0,32.7,2,97.0,2011
Mike Tolbert,27,16,5,54,183,7,23,0.611,13,3.4,11.4,0,60.3,2012
Mike Tolbert,28,16,13,101,361,5,32,0.505,22,3.6,22.6,0,66.1,2013
Peyton Hillis,22,12,6,68,343,5,25,0.632,19,5.0,28.6,0,64.3,2008
Peyton Hillis,24,16,14,270,1177,11,58,0.515,48,4.4,73.6,8,183.7,2010
Peyton Hillis,25,10,9,161,587,3,33,0.559,24,3.6,58.7,2,76.7,2011
Pierre Thomas,27,16,7,110,562,5,29,0.609,33,5.1,35.1,1,86.2,2011
Pierre Thomas,28,15,4,105,473,1,17,0.524,48,4.5,31.5,0,53.3,2012
Pierre Thomas,29,16,9,147,549,2,32,0.517,18,3.7,34.3,2,66.9,2013
Rashad Jennings,29,11,9,167,639,4,39,0.473,18,3.8,58.1,1,87.9,2014
Rashad Jennings,30,16,16,195,863,3,42,0.559,38,4.4,53.9,3,104.3,2015
Rashad Jennings,31,13,12,181,593,3,29,0.365,25,3.3,45.6,1,77.3,2016
Rashard Mendenhall,23,16,16,324,1273,13,61,0.404,50,3.9,79.6,2,205.3,2010
Rashard Mendenhall,24,15,15,228,928,9,46,0.509,68,4.1,61.9,1,146.8,2011
Rashard Mendenhall,26,15,15,217,687,8,45,0.406,28,3.2,45.8,4,116.7,2013
Ray Rice,24,16,16,291,1364,12,54,0.43,70,4.7,85.3,2,208.4,2011
Ray Rice,25,16,16,257,1143,9,52,0.432,46,4.4,71.4,1,168.3,2012
Ray Rice,26,15,15,214,660,4,28,0.336,47,3.1,44.0,2,90.0,2013
Reggie Bush,26,15,15,216,1086,6,41,0.435,76,5.0,72.4,4,144.6,2011
Reggie Bush,27,16,16,227,986,6,43,0.502,65,4.3,61.6,4,134.6,2012
Reggie Bush,28,14,14,223,1006,4,49,0.448,39,4.5,71.9,5,124.6,2013
Ricky Williams,32,16,7,241,1121,11,55,0.539,68,4.7,70.1,5,178.1,2009
Ricky Williams,33,16,0,159,673,2,26,0.491,45,4.2,42.1,4,79.3,2010
Ricky Williams,34,16,0,108,444,2,20,0.481,28,4.1,27.8,2,56.4,2011
Ronnie Brown,27,16,13,214,916,10,49,0.472,62,4.3,57.3,1,151.6,2008
Ronnie Brown,28,9,9,147,648,8,32,0.503,45,4.4,72.0,1,112.8,2009
Ronnie Brown,29,16,16,200,734,5,40,0.415,51,3.7,45.9,3,103.4,2010
Ryan Grant,26,16,14,312,1203,4,54,0.446,57,3.9,75.2,4,144.3,2008
Ryan Grant,27,16,16,282,1253,11,64,0.465,62,4.4,78.3,1,191.3,2009
Ryan Grant,29,15,14,134,559,2,27,0.425,47,4.2,37.3,1,67.9,2011
Ryan Mathews,27,6,6,74,330,3,19,0.473,32,4.5,55.0,1,51.0,2014
Ryan Mathews,28,13,6,106,539,6,34,0.528,63,5.1,41.5,3,89.9,2015
Ryan Mathews,29,13,8,155,661,8,40,0.51,30,4.3,50.8,3,114.1,2016
Shonn Greene,27,16,14,276,1063,8,52,0.511,36,3.9,66.4,4,154.3,2012
Shonn Greene,28,11,0,77,295,4,20,0.584,29,3.8,26.8,0,53.5,2013
Shonn Greene,29,13,5,94,392,2,18,0.457,52,4.2,30.2,1,51.2,2014
Stevan Ridley,22,16,2,87,441,1,18,0.494,33,5.1,27.6,1,50.1,2011
Stevan Ridley,23,16,12,290,1263,12,83,0.528,41,4.4,78.9,4,198.3,2012
Stevan Ridley,24,14,6,178,773,7,40,0.494,29,4.3,55.2,4,119.3,2013
Steven Jackson,29,16,16,258,1045,4,49,0.453,46,4.1,65.3,0,128.5,2012
Steven Jackson,30,12,12,157,543,6,26,0.401,50,3.5,45.3,0,90.3,2013
Steven Jackson,31,15,15,190,707,6,38,0.5,55,3.7,47.1,0,106.7,2014
Thomas Jones,30,16,14,290,1312,13,63,0.514,59,4.5,82.0,2,209.2,2008
Thomas Jones,31,16,16,331,1402,14,66,0.426,71,4.2,87.6,2,224.2,2009
Thomas Jones,32,16,10,245,896,6,39,0.416,70,3.7,56.0,3,125.6,2010
Tim Hightower,24,16,13,153,736,5,32,0.405,80,4.8,46.0,5,103.6,2010
Tim Hightower,29,8,3,96,375,4,24,0.552,26,3.9,46.9,0,61.5,2015
Tim Hightower,30,16,1,133,548,4,32,0.534,30,4.1,34.3,0,78.8,2016
Todd Gurley,21,13,12,229,1106,10,47,0.402,71,4.8,85.1,3,170.6,2015
Todd Gurley,22,16,16,278,885,6,49,0.403,24,3.2,55.3,2,124.5,2016
Todd Gurley,23,15,15,279,1305,13,69,0.505,57,4.7,87.0,5,208.5,2017
Trent Richardson,22,15,15,267,950,11,38,0.423,32,3.6,63.3,3,161.0,2012
Trent Richardson,23,16,10,188,563,3,56,0.42,22,3.0,35.2,2,74.3,2013
Trent Richardson,24,15,12,159,519,3,27,0.403,27,3.3,34.6,2,69.9,2014
Warrick Dunn,31,16,16,286,1140,4,48,0.388,90,4.0,71.3,1,138.0,2006
Warrick Dunn,32,16,15,227,720,4,36,0.357,38,3.2,45.0,2,96.0,2007
Warrick Dunn,33,15,6,186,786,2,31,0.446,40,4.2,52.4,0,90.6,2008
Willie Parker,26,16,16,337,1494,13,72,0.445,76,4.4,93.4,7,227.4,2006
Willie Parker,27,15,15,321,1316,2,48,0.399,32,4.1,87.7,4,143.6,2007
Willie Parker,28,11,11,210,791,5,29,0.41,34,3.8,71.9,0,109.1,2008
Willis McGahee,29,15,2,100,380,5,18,0.46,30,3.8,25.3,2,68.0,2010
Willis McGahee,30,15,14,249,1199,4,53,0.462,60,4.8,79.9,4,143.9,2011
Willis McGahee,31,10,9,167,731,4,44,0.563,31,4.4,73.1,5,97.1,2012
